datetime,daily_return
2024-01-02,0.0024369913153350353
2024-01-03,-0.008143845945596695
2024-01-04,-0.00271051749587059
2024-01-05,-0.012355952523648739
2024-01-08,0.0013762706657871604
2024-01-09,-0.007698690053075552
2024-01-10,0.002859964268282056
2024-01-11,-0.0023658357094973326
2024-01-12,0.0011920859105885029
2024-01-15,0.005512380041182041
2024-01-16,-0.019004128873348236
2024-01-17,0.006930183153599501
2024-01-18,-0.0038644615560770035
2024-01-19,-0.020236777141690254
2024-01-22,0.007675805129110813
2024-01-23,0.02301684021949768
2024-01-24,0.02620289847254753
2024-01-25,0.0043062083423137665
2024-01-26,-0.0038820882327854633
2024-01-29,-0.015936698764562607
2024-01-30,-0.01353953592479229
2024-01-31,-0.004850395955145359
2024-02-01,-0.00918557122349739
2024-02-02,-0.0032029494177550077
2024-02-05,0.03643318638205528
2024-02-06,0.006306701339781284
2024-02-07,0.008575514890253544
2024-02-08,0.012748632580041885
2024-02-19,0.004516128916293383
2024-02-20,0.013609287329018116
2024-02-21,0.009205907583236694
2024-02-22,0.002204151125624776
2024-02-23,-0.011899389326572418
2024-02-26,0.009136815555393696
2024-02-27,-0.0116496030241251
2024-02-28,0.014677665196359158
2024-02-29,0.002664876403287053
2024-03-01,-0.003974543418735266
2024-03-04,0.00611756881698966
2024-03-05,-0.0037933746352791786
2024-03-06,-0.004859780427068472
2024-03-07,0.001073353341780603
2024-03-08,0.00854775682091713
2024-03-11,0.001573997549712658
2024-03-12,-0.0073791504837572575
2024-03-13,-0.00041111130849458277
2024-03-14,0.004309866577386856
2024-03-15,0.009781485423445702
2024-03-18,-0.008259905502200127
2024-03-19,0.0035680257715284824
2024-03-20,0.003233044408261776
2024-03-21,-0.01113530807197094
2024-03-22,-0.003996885847300291
2024-03-25,0.004635451827198267
2024-03-26,-0.01181868277490139
2024-03-27,0.0028087394312024117
2024-03-28,0.004354898352175951
2024-03-29,0.015636803582310677
2024-04-01,-0.003984966780990362
2024-04-02,-0.0027824973221868277
2024-04-03,-0.006579057313501835
2024-04-08,-0.00047238526167348027
2024-04-09,-0.00820091925561428
2024-04-10,-0.0002353252930333838
2024-04-11,-0.012059268541634083
2024-04-12,0.021585613489151
2024-04-15,-0.010514388792216778
2024-04-16,0.017505791038274765
2024-04-17,0.0031168197747319937
2024-04-18,-0.006492985878139734
2024-04-19,-0.0032601188868284225
2024-04-22,-0.009186115115880966
2024-04-23,0.004659474361687899
2024-04-24,0.0033143884502351284
2024-04-25,0.01722147688269615
2024-04-26,0.007698042783886194
2024-04-29,-0.007628421764820814
2024-04-30,0.010829093866050243
2024-05-06,0.0011684937635436654
2024-05-07,-0.00756438123062253
2024-05-08,0.010022222064435482
2024-05-09,0.0056625171564519405
2024-05-10,0.0035255502443760633
2024-05-13,0.001653263927437365
2024-05-14,-0.01040579192340374
2024-05-15,0.004213687963783741
2024-05-16,0.014320597052574158
2024-05-17,0.005207917653024197
2024-05-20,-0.0026709246449172497
2024-05-21,0.0017698457231745124
2024-05-22,-0.013639632612466812
2024-05-23,-0.009660400450229645
2024-05-24,0.010196383111178875
2024-05-27,-0.007893255911767483
2024-05-28,0.0005132293445058167
2024-05-29,-0.00596262700855732
2024-05-30,-0.0028560678474605083
2024-05-31,-0.0017402443336322904
2024-06-03,0.008011121302843094
2024-06-04,-0.0066612595692276955
2024-06-05,-0.0035015426110476255
2024-06-06,0.0017091786721721292
2024-06-07,-0.010758618824183941
2024-06-11,0.0013385654892772436
2024-06-12,-0.007391667924821377
2024-06-13,0.005877165589481592
2024-06-14,-0.004290203098207712
2024-06-17,0.004862871952354908
2024-06-18,-0.0047627282328903675
2024-06-19,-0.008455038070678711
2024-06-20,0.001134058809839189
2024-06-21,-0.00847043190151453
2024-06-24,-0.0023738404270261526
2024-06-25,0.008816169574856758
2024-06-26,-0.0062959701754152775
2024-06-27,0.0036643664352595806
2024-06-28,0.009649065323174
2024-07-01,-0.0011285514337942004
2024-07-02,-0.0028877737931907177
2024-07-03,-0.00970229972153902
2024-07-04,-0.003994476515799761
2024-07-05,-0.01084941253066063
2024-07-08,0.009184290654957294
2024-07-09,-0.0051017263904213905
2024-07-10,0.013262520544230938
2024-07-11,-0.0009358852403238416
2024-07-12,0.0019913564901798964
2024-07-15,0.0039044618606567383
2024-07-16,0.0037646570708602667
2024-07-17,0.004137066192924976
2024-07-18,0.0035033044405281544
2024-07-19,-0.007329985965043306
2024-07-22,-0.01731143891811371
2024-07-23,-0.005613882560282946
2024-07-24,-0.0032588846515864134
2024-07-25,0.0029493803158402443
2024-07-26,-0.0008839351357892156
2024-07-29,-0.005823077168315649
2024-07-30,0.02160031907260418
2024-07-31,-0.004536325577646494
2024-08-01,-0.009225976653397083
2024-08-02,-0.009069977328181267
2024-08-05,-0.0005640515009872615
2024-08-06,-0.0006895337719470263
2024-08-07,-0.0002031203912338242
2024-08-08,-0.002456849906593561
2024-08-09,-0.0038223618175834417
2024-08-12,0.0031100332271307707
2024-08-13,-0.005591067019850016
2024-08-14,0.01047846581786871
2024-08-15,-0.00012737700308207422
2024-08-16,0.005002973135560751
2024-08-19,-0.00914058182388544
2024-08-20,-0.005310917738825083
2024-08-21,-0.003911666106432676
2024-08-22,0.0040858834981918335
2024-08-23,-0.00035476108314469457
2024-08-26,-0.0063087185844779015
2024-08-27,-0.005672036204487085
2024-08-28,-0.004998344462364912
2024-08-29,0.014149895869195461
2024-08-30,-0.01404202077537775
2024-09-02,0.00047478737542405725
2024-09-03,-0.006387747824192047
2024-09-04,0.0032227947376668453
2024-09-05,-0.005858934950083494
2024-09-06,-0.013068268075585365
2024-09-09,0.0010586888529360294
2024-09-10,-0.006941727362573147
2024-09-11,-0.0030216944869607687
2024-09-12,-0.005296491552144289
2024-09-13,0.005885186605155468
2024-09-18,0.010711200535297394
2024-09-19,0.002559388056397438
2024-09-20,0.006370631046593189
2024-09-23,0.04131199046969414
2024-09-24,0.01848590560257435
2024-09-25,0.04468521475791931
2024-09-26,0.042038846760988235
2024-09-27,0.0778878703713417
2024-09-30,0.04392654448747635
2024-10-08,-0.07202459126710892
2024-10-09,0.016871001571416855
2024-10-10,-0.021260997280478477
2024-10-11,0.017769554629921913
2024-10-14,-0.026241492480039597
2024-10-15,0.003927773330360651
2024-10-16,-0.014461328275501728
2024-10-17,0.0263160802423954
2024-10-18,-0.0009161400957964361
2024-10-21,0.0070401448756456375
2024-10-22,0.004269907716661692
2024-10-23,-0.01023767702281475
2024-10-24,0.002671366324648261
2024-10-25,0.00561892706900835
2024-10-28,-0.010613870806992054
2024-10-29,-0.006061941850930452
2024-10-30,0.001592705026268959
2024-10-31,0.0054716188460588455
2024-11-01,0.012067880481481552
2024-11-04,0.024844255298376083
2024-11-05,-0.0016952903242781758
2024-11-06,0.03223980590701103
2024-11-07,-0.015618054196238518
2024-11-08,-0.0017236691201105714
2024-11-11,-0.008323853835463524
2024-11-12,0.006309198215603828
2024-11-13,-0.013418292626738548
2024-11-14,-0.011024716310203075
2024-11-15,0.00442148232832551
2024-11-18,-0.0012381591368466616
2024-11-19,0.0028847164940088987
2024-11-20,0.0009910266380757093
2024-11-21,-0.029650038108229637
2024-11-22,-0.002445756457746029
2024-11-25,-0.0004674486699514091
2024-11-26,0.017665352672338486
2024-11-27,-0.007212405558675528
2024-11-28,0.010585162788629532
2024-11-29,0.008033178746700287
2024-12-02,0.0054162717424333096
2024-12-03,-0.006146447733044624
2024-12-04,-0.0003793597570620477
2024-12-05,0.011152134276926517
2024-12-06,-0.0027112606912851334
2024-12-09,0.006038576364517212
2024-12-10,-0.0008370789582841098
2024-12-11,0.009279553778469563
2024-12-12,-0.022286467254161835
2024-12-13,-0.007118194829672575
2024-12-16,-8.328456897288561e-05
2024-12-17,0.005581301171332598
2024-12-18,-0.0030283129308372736
2024-12-19,-0.005126797128468752
2024-12-20,0.0013539522187784314
2024-12-23,0.012711438350379467
2024-12-24,0.00035128960735164583
2024-12-25,-0.003790350630879402
2024-12-26,0.0022084012161940336
2024-12-27,0.004535052925348282
2024-12-30,-0.017014797776937485
